epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.401,2.04711,19.3464,1.59488,0.36376,0.21008,0.21026,0.07758,2.19555,8.26533,2.0372,0.0006621,0.0006621,0.0006621
2,31.456,2.45372,11.0645,2.06437,0.29339,0.19542,0.16279,0.05447,2.5921,3.15242,2.46591,0.00131561,0.00131561,0.00131561
3,46.123,2.54747,5.00987,2.17294,0.29539,0.15966,0.11357,0.02407,2.93206,4.37643,2.92149,0.00195592,0.00195592,0.00195592
4,60.67,2.66865,3.95842,2.32263,0.01621,0.16807,0.01917,0.0037,3.3616,6.55724,3.19412,0.0019406,0.0019406,0.0019406
5,75.149,2.64214,3.25869,2.32063,0.31065,0.20168,0.19423,0.07214,2.58872,2.80005,2.49985,0.0019208,0.0019208,0.0019208
6,89.657,2.43743,2.66134,2.13075,0.29126,0.14507,0.1448,0.04525,2.9107,7.51115,2.98368,0.001901,0.001901,0.001901
7,103.916,2.40887,2.71162,2.22823,0.34317,0.30735,0.26173,0.10721,2.2694,2.43831,2.32271,0.0018812,0.0018812,0.0018812
8,118.143,2.21676,2.60611,2.07788,0.42295,0.27731,0.30034,0.09198,2.29695,2.34505,2.37251,0.0018614,0.0018614,0.0018614
9,132.093,2.23907,2.36628,2.10817,0.30088,0.31933,0.25968,0.0941,2.201,2.49056,2.31458,0.0018416,0.0018416,0.0018416
10,146.045,2.18521,2.4526,2.05131,0.34835,0.37815,0.30491,0.11446,2.42364,2.48164,2.49394,0.0018218,0.0018218,0.0018218
11,160.368,2.31432,2.42238,2.14479,0.54465,0.30252,0.33121,0.12415,2.25731,2.30099,2.32578,0.001802,0.001802,0.001802
12,174.561,2.2808,2.351,2.13831,0.40402,0.38169,0.32521,0.12247,2.31038,2.20679,2.39926,0.0017822,0.0017822,0.0017822
13,189.161,2.14763,2.08427,1.99386,0.48419,0.33132,0.35765,0.12859,2.31625,2.42879,2.40226,0.0017624,0.0017624,0.0017624
14,203.357,2.06964,2.14556,1.95598,0.57903,0.35294,0.39769,0.15046,2.18494,2.14858,2.29178,0.0017426,0.0017426,0.0017426
15,217.615,2.12732,2.07783,2.05701,0.54934,0.37902,0.41935,0.18169,2.14074,2.19625,2.22772,0.0017228,0.0017228,0.0017228
16,232.093,2.16391,2.03491,2.00419,0.62479,0.39496,0.44345,0.15615,2.18489,2.10713,2.25453,0.001703,0.001703,0.001703
17,246.588,2.01377,2.15367,1.92477,0.57284,0.37191,0.37977,0.13273,2.2133,2.18811,2.27673,0.0016832,0.0016832,0.0016832
18,261.195,2.12847,2.07596,2.00742,0.53153,0.38655,0.39848,0.15482,2.07807,2.61164,2.25305,0.0016634,0.0016634,0.0016634
19,275.381,2.01929,1.99694,1.87019,0.51221,0.41474,0.46361,0.19455,2.11023,2.07994,2.19697,0.0016436,0.0016436,0.0016436
20,289.714,2.11391,2.13009,1.96183,0.6159,0.36384,0.47635,0.17187,2.24547,2.01742,2.34905,0.0016238,0.0016238,0.0016238
21,304.278,2.06856,1.9165,1.89011,0.60875,0.36134,0.41791,0.16955,2.20042,2.25018,2.30838,0.001604,0.001604,0.001604
22,318.337,2.06016,1.97707,1.95196,0.48662,0.34454,0.36654,0.14889,2.22302,2.36279,2.34098,0.0015842,0.0015842,0.0015842
23,332.787,2.07802,2.12716,1.89725,0.50734,0.35481,0.4335,0.17108,2.12366,2.40242,2.2221,0.0015644,0.0015644,0.0015644
24,346.956,2.04599,2.07228,1.89579,0.5347,0.42857,0.47812,0.18805,1.9718,1.97253,2.13532,0.0015446,0.0015446,0.0015446
25,361.326,2.06888,1.966,1.94753,0.56142,0.48409,0.4957,0.21619,2.03015,2.21215,2.22802,0.0015248,0.0015248,0.0015248
26,375.542,2.02818,1.91383,1.91812,0.50019,0.43697,0.50414,0.20894,2.02137,2.20986,2.17248,0.001505,0.001505,0.001505
27,389.993,1.95463,1.928,1.87192,0.70858,0.49041,0.54741,0.20758,2.03389,1.9592,2.18174,0.0014852,0.0014852,0.0014852
28,404.224,2.07094,1.94201,1.91967,0.64254,0.42857,0.51051,0.21471,1.97966,1.98544,2.09342,0.0014654,0.0014654,0.0014654
29,418.709,1.86237,1.74034,1.80955,0.64798,0.42017,0.5147,0.20849,2.0431,2.0621,2.13721,0.0014456,0.0014456,0.0014456
30,432.916,1.90487,1.78213,1.83984,0.53501,0.55462,0.58257,0.24789,2.0215,1.90469,2.15546,0.0014258,0.0014258,0.0014258
31,447.187,1.99984,1.87895,1.88332,0.5217,0.52941,0.52732,0.23243,2.04297,1.8577,2.18513,0.001406,0.001406,0.001406
32,461.359,1.88107,1.71128,1.85113,0.68002,0.38655,0.54081,0.21987,1.98714,1.92134,2.1639,0.0013862,0.0013862,0.0013862
33,475.825,1.95537,1.84813,1.90733,0.71454,0.48383,0.55877,0.24214,1.94102,1.93918,2.08152,0.0013664,0.0013664,0.0013664
34,489.865,1.81748,1.68646,1.74479,0.55085,0.46218,0.51012,0.22385,1.98951,2.01813,2.11421,0.0013466,0.0013466,0.0013466
